,client_id,filepath,group,label
1,2,face-station/17.01.18/002_01_003_2_81,train,attack
2,2,face-station/14.03.18/002_04_010_2_82,train,attack
3,2,face-station/14.03.18/002_04_010_2_13,train,attack
4,2,face-station/14.03.18/002_04_010_2_81,train,attack
5,2,face-station/29.01.18/002_01_020_2_13,train,attack
6,2,face-station/30.01.18/002_01_028_2_82,train,attack
7,2,face-station/31.01.18/002_01_034_2_81,train,attack
8,2,face-station/07.02.18/002_02_044_2_82,train,attack
9,2,face-station/01.02.18/002_01_000_0_00,train,bonafide
10,2,face-station/01.02.18/002_01_000_0_01,train,bonafide
11,2,face-station/02.02.18/002_01_056_2_82,train,attack
12,2,face-station/02.02.18/002_01_050_2_13,train,attack
13,2,face-station/06.02.18/002_02_055_2_13,train,attack
14,2,face-station/06.02.18/002_02_001_2_81,train,attack
15,2,face-station/06.02.18/002_02_018_2_82,train,attack
16,2,face-station/08.02.18/002_02_000_0_00,train,bonafide
17,2,face-station/08.02.18/002_02_000_0_01,train,bonafide
18,2,face-station/08.02.18/002_03_000_0_00,train,bonafide
19,2,face-station/08.02.18/002_03_000_0_01,train,bonafide
20,2,face-station/08.02.18/002_03_022_2_81,train,attack
21,2,face-station/09.02.18/002_02_000_2_82,train,attack
22,2,face-station/13.02.18/002_02_031_2_81,train,attack
23,2,face-station/13.02.18/002_03_047_2_81,train,attack
24,2,face-station/14.02.18/002_03_051_2_82,train,attack
25,2,face-station/19.02.18/002_02_000_2_13,train,attack
26,2,face-station/19.02.18/002_02_000_2_81,train,attack
27,2,face-station/21.02.18/002_03_000_2_82,train,attack
28,2,face-station/21.02.18/002_03_020_2_13,train,attack
29,2,face-station/21.02.18/002_03_000_2_13,train,attack
30,2,face-station/22.02.18/002_03_044_2_13,train,attack
31,2,face-station/22.02.18/002_03_000_2_81,train,attack
32,2,face-station/27.02.18/002_01_000_2_81,train,attack
33,2,face-station/27.02.18/002_01_000_2_82,train,attack
34,2,face-station/27.02.18/002_01_000_2_13,train,attack
35,2,face-station/01.05.18/002_06_064_2_13,train,attack
36,2,face-station/02.05.18/002_05_003_2_82,train,attack
37,2,face-station/03.05.18/002_07_064_2_82,train,attack
38,2,face-station/04.05.18/002_05_000_0_00,train,bonafide
39,2,face-station/04.05.18/002_05_000_0_01,train,bonafide
40,2,face-station/04.05.18/002_06_004_2_82,train,attack
41,2,face-station/07.05.18/002_07_000_2_82,train,attack
42,2,face-station/07.05.18/002_05_000_2_82,train,attack
43,2,face-station/07.05.18/002_06_000_2_82,train,attack
44,2,face-station/07.05.18/002_04_000_2_82,train,attack
45,2,face-station/07.05.18/002_06_000_0_00,train,bonafide
46,2,face-station/07.05.18/002_06_000_0_01,train,bonafide
47,2,face-station/08.05.18/002_07_000_0_00,train,bonafide
48,2,face-station/08.05.18/002_07_000_0_01,train,bonafide
49,2,face-station/15.05.18/002_05_019_2_13,train,attack
50,2,face-station/22.05.18/002_06_018_2_81,train,attack
51,2,face-station/23.05.18/002_07_073_2_81,train,attack
52,2,face-station/23.05.18/002_07_073_2_13,train,attack
53,2,face-station/23.05.18/002_05_073_2_81,train,attack
54,2,face-station/29.05.18/002_04_000_2_81,train,attack
55,2,face-station/29.05.18/002_05_000_2_81,train,attack
56,2,face-station/29.05.18/002_06_000_2_81,train,attack
57,2,face-station/29.05.18/002_07_000_2_81,train,attack
58,2,face-station/04.06.18/002_04_000_2_13,train,attack
59,2,face-station/04.06.18/002_05_000_2_13,train,attack
60,2,face-station/04.06.18/002_06_000_2_13,train,attack
61,2,face-station/04.06.18/002_07_000_2_13,train,attack
68,4,face-station/17.01.18/004_01_000_0_00,train,bonafide
69,4,face-station/07.02.18/004_02_000_0_00,train,bonafide
70,4,face-station/15.02.18/004_03_000_0_00,train,bonafide
71,4,face-station/04.05.18/004_06_000_0_00,train,bonafide
72,4,face-station/15.05.18/004_05_000_0_00,train,bonafide
73,4,face-station/16.05.18/004_07_000_0_00,train,bonafide
96,5,face-station/18.01.18/005_01_000_0_00,train,bonafide
97,5,face-station/18.01.18/005_01_000_0_01,train,bonafide
98,5,face-station/15.03.18/005_04_004_4_09,train,attack
99,5,face-station/15.03.18/005_04_004_4_10,train,attack
